iter	RMSE
0	50.59282821
1	50.42710485
2	50.27312778
3	50.1183382
4	49.92252964
5	49.76608021
6	49.61834712
7	49.47964073
8	49.34421532
9	49.19189366
10	49.05591401
11	48.93785706
12	48.80871503
13	48.67371945
14	48.55235041
15	48.43748436
16	48.32087356
17	48.2122209
18	48.13223485
19	48.03133553
20	47.90222282
21	47.81043126
22	47.70972045
23	47.62953583
24	47.54021195
25	47.46290771
26	47.39274872
27	47.3170274
28	47.22145695
29	47.15248453
30	47.09509012
31	47.03131068
32	46.95761871
33	46.89976066
34	46.83271338
35	46.74954537
36	46.65394546
37	46.59406709
38	46.53708755
39	46.46625478
40	46.39588482
41	46.34295376
42	46.26223324
43	46.19702366
44	46.14753169
45	46.08525474
46	46.04641211
47	45.98370634
48	45.93671286
49	45.88650977
50	45.82991811
51	45.77680516
52	45.72294859
53	45.64007523
54	45.58892337
55	45.54485981
56	45.4858574
57	45.43454146
58	45.39612024
59	45.34603876
60	45.29119535
61	45.24864759
62	45.19601292
63	45.1414875
64	45.0963822
65	45.03013818
66	44.98632423
67	44.95011936
68	44.91429656
69	44.8723599
70	44.84584752
71	44.80466722
72	44.76507721
73	44.71888468
74	44.68141955
75	44.64271501
76	44.60875635
77	44.58084453
78	44.53782237
79	44.50212698
80	44.44974606
81	44.40649298
82	44.36974669
83	44.33861761
84	44.31028333
85	44.27465343
86	44.25025998
87	44.21480082
88	44.18986727
89	44.15127726
90	44.10055588
91	44.07716897
92	44.04463511
93	44.02030656
94	43.98956876
95	43.96696348
96	43.94136162
97	43.92099262
98	43.89375051
99	43.8590235
100	43.82912166
101	43.789652
102	43.76438198
103	43.74400421
104	43.71776188
105	43.68003101
106	43.64556057
107	43.61392666
108	43.59356306
109	43.57172897
110	43.54947877
111	43.52365921
112	43.50557372
113	43.48724448
114	43.45804279
115	43.42958787
116	43.40067601
117	43.37280638
118	43.34042756
119	43.31762801
120	43.29671296
121	43.25957631
122	43.23353921
123	43.20188888
124	43.17283531
125	43.14637203
126	43.12745924
127	43.10796088
128	43.08313563
129	43.06099836
130	43.0463525
131	43.01235844
132	42.99426006
133	42.95971076
134	42.92252374
135	42.89766092
136	42.8709995
137	42.8536133
138	42.83565562
139	42.81039627
140	42.78358252
141	42.76737183
142	42.74636709
143	42.71499916
144	42.67000827
145	42.64749027
146	42.63694856
147	42.61695371
148	42.59019884
149	42.56029856
150	42.52348558
151	42.49544315
152	42.4798367
153	42.44438592
154	42.42897775
155	42.41075901
156	42.38304234
157	42.36084949
158	42.34289471
159	42.32736567
160	42.30450872
161	42.28601815
162	42.27523824
163	42.24629852
164	42.22435842
165	42.19440483
166	42.1767227
167	42.16219072
168	42.1407953
169	42.1219032
170	42.09618785
171	42.0738425
172	42.05342979
173	42.04310325
174	42.02294528
175	42.00988512
176	41.98040379
177	41.95889116
178	41.93818755
179	41.91216195
180	41.88696449
181	41.87416399
182	41.85100797
183	41.828155
184	41.81950758
185	41.80700611
186	41.7875007
187	41.76783873
188	41.75372595
189	41.72397877
190	41.70610977
191	41.68651871
192	41.66473182
193	41.65234286
194	41.63345853
195	41.62182729
196	41.60467856
197	41.58516184
198	41.56266505
199	41.54085599
200	41.52175682
201	41.50107732
