iter	Passed	Remaining
0	1	6348
1	2	5866
2	3	5932
3	4	5859
4	5	5740
5	7	5860
6	8	5887
7	9	5946
8	10	5992
9	12	6093
10	13	6143
11	14	6108
12	16	6172
13	17	6221
14	18	6227
15	20	6266
16	21	6187
17	22	6130
18	23	6148
19	24	6141
20	25	6120
21	27	6114
22	28	6123
23	29	6090
24	30	6042
25	31	6020
26	32	6023
27	34	6042
28	35	6057
29	36	6053
30	37	6031
31	38	6011
32	39	6008
33	41	6007
34	42	6027
35	43	6015
36	44	6029
37	46	6040
38	47	6056
39	48	6064
40	50	6079
41	51	6073
42	52	6084
43	53	6067
44	55	6059
45	56	6066
46	57	6053
47	58	6050
48	59	6047
49	61	6050
50	62	6062
51	63	6068
52	65	6081
53	66	6073
54	67	6078
55	68	6083
56	70	6081
57	71	6075
58	72	6080
59	73	6067
60	74	6067
61	76	6062
62	77	6070
63	78	6070
64	79	6068
65	81	6068
66	82	6070
67	83	6070
68	84	6072
69	86	6079
70	87	6073
71	88	6077
72	90	6077
73	91	6078
74	92	6077
75	93	6071
76	94	6072
77	96	6064
78	97	6065
79	98	6064
80	99	6061
81	101	6057
82	102	6060
83	103	6062
84	104	6056
85	105	6054
86	107	6059
87	108	6059
88	109	6061
89	111	6066
90	112	6065
91	113	6068
92	115	6076
93	116	6084
94	117	6086
95	119	6090
96	120	6081
97	121	6073
98	122	6075
99	123	6064
100	124	6051
101	126	6070
102	127	6064
103	128	6054
104	129	6059
105	131	6059
106	132	6052
107	133	6055
108	135	6060
109	136	6060
110	137	6057
111	138	6055
112	140	6056
113	141	6056
114	142	6054
115	143	6056
116	145	6058
117	146	6060
118	147	6056
119	148	6049
120	150	6054
121	151	6049
122	152	6043
123	153	6039
124	154	6032
125	155	6022
126	156	6015
127	157	6003
128	158	5996
129	159	5990
130	161	5992
131	162	5994
132	163	5995
133	165	5991
134	166	5990
135	167	5990
136	168	5989
137	169	5988
138	171	5990
139	172	5992
140	173	5991
141	174	5986
142	175	5977
143	177	5980
144	178	5985
145	180	5988
146	181	5982
147	182	5981
148	183	5984
149	184	5979
150	186	5983
151	187	5978
152	188	5977
153	189	5976
154	191	5976
155	192	5976
156	193	5970
157	194	5971
158	196	5970
159	197	5969
160	198	5962
161	199	5960
162	200	5957
163	201	5953
164	203	5950
165	204	5949
166	205	5942
167	206	5935
168	207	5926
169	208	5919
170	209	5919
171	210	5914
172	211	5914
173	213	5915
174	214	5910
175	215	5908
176	216	5909
177	218	5910
178	219	5905
179	220	5904
180	221	5900
181	222	5898
182	224	5897
183	225	5897
184	226	5897
185	227	5897
186	229	5895
187	230	5895
188	231	5890
189	232	5885
190	233	5888
191	234	5884
192	236	5881
193	237	5882
194	238	5876
195	239	5869
196	240	5865
197	241	5862
198	242	5860
199	244	5858
200	245	5858
201	246	5858
202	247	5853
203	249	5866
204	250	5865
205	251	5863
206	253	5862
207	254	5859
208	255	5853
209	256	5846
210	257	5839
211	258	5842
212	259	5842
213	261	5845
214	262	5843
215	263	5839
216	264	5839
217	266	5838
218	267	5837
219	268	5839
220	269	5837
221	271	5835
222	272	5834
223	273	5832
224	274	5833
225	276	5833
226	277	5835
227	278	5835
228	280	5834
229	281	5831
230	282	5832
231	283	5829
232	284	5828
233	286	5828
234	287	5825
235	288	5820
236	289	5820
237	290	5820
238	291	5816
239	293	5814
240	294	5813
241	295	5810
242	296	5806
243	297	5807
244	299	5805
245	300	5804
246	301	5803
247	302	5803
248	304	5801
249	305	5799
250	306	5801
251	307	5800
252	308	5796
253	310	5796
254	311	5797
255	312	5797
256	314	5796
257	315	5794
258	316	5793
259	317	5796
260	319	5795
261	320	5796
262	321	5796
263	323	5796
264	324	5797
265	325	5791
266	326	5793
267	328	5792
268	329	5789
269	330	5787
270	331	5788
271	332	5787
272	334	5787
273	335	5788
274	336	5784
275	337	5784
276	339	5785
277	340	5782
278	341	5780
279	342	5779
280	344	5780
281	345	5778
282	346	5777
283	348	5778
284	349	5778
285	350	5776
286	351	5777
287	353	5778
288	354	5776
289	355	5777
290	357	5777
291	358	5776
292	359	5776
293	360	5774
294	362	5775
295	363	5774
296	364	5774
297	365	5773
298	367	5775
299	368	5773
300	369	5772
301	370	5769
302	372	5767
303	373	5765
304	374	5765
305	375	5763
306	376	5761
307	377	5757
308	379	5756
309	380	5755
310	381	5755
311	383	5756
312	384	5753
313	385	5752
314	386	5751
315	387	5748
316	389	5755
317	390	5755
318	392	5752
319	393	5750
320	394	5748
321	395	5745
322	396	5743
323	397	5741
324	399	5739
325	400	5738
326	401	5737
327	402	5735
328	403	5732
329	405	5733
330	406	5731
331	407	5730
332	408	5728
333	409	5727
334	411	5725
335	412	5732
336	414	5732
337	415	5730
338	416	5730
339	417	5729
340	419	5727
341	420	5725
342	421	5725
343	423	5725
344	424	5722
345	425	5722
346	426	5719
347	427	5719
348	429	5718
349	430	5717
350	431	5716
351	432	5714
352	433	5711
353	435	5710
354	436	5708
355	437	5707
356	438	5707
357	439	5704
358	441	5703
359	442	5702
360	443	5703
361	445	5704
362	446	5705
363	447	5703
364	449	5702
365	450	5700
366	451	5697
367	452	5698
368	454	5699
369	455	5698
370	456	5698
371	457	5696
372	459	5696
373	460	5695
374	461	5696
375	463	5695
376	464	5694
377	465	5694
378	467	5694
379	468	5693
380	469	5692
381	470	5693
382	472	5691
383	473	5691
384	474	5691
385	476	5689
386	477	5688
387	478	5688
388	479	5687
389	480	5684
390	482	5684
391	483	5683
392	484	5681
393	485	5679
394	487	5678
395	488	5677
396	489	5676
397	490	5675
398	492	5675
399	493	5676
400	494	5675
401	496	5676
402	497	5675
403	498	5673
404	499	5670
405	501	5670
406	502	5670
407	503	5670
408	505	5669
409	506	5669
410	507	5668
411	508	5668
412	510	5668
413	511	5668
414	512	5667
415	514	5666
416	515	5666
417	516	5665
418	518	5664
419	519	5663
420	520	5662
421	521	5661
422	523	5659
423	524	5658
424	525	5657
425	526	5655
426	527	5654
427	529	5653
428	530	5654
429	531	5654
430	533	5653
431	534	5653
432	536	5653
433	537	5652
434	538	5651
435	539	5651
436	541	5652
437	542	5652
438	543	5650
439	545	5650
440	546	5649
441	547	5647
442	548	5645
443	549	5643
444	551	5642
445	552	5643
446	554	5643
447	555	5643
448	556	5643
449	558	5643
450	559	5642
451	560	5641
452	561	5640
453	563	5638
454	564	5639
455	565	5637
456	567	5637
457	568	5635
458	569	5635
459	570	5634
460	572	5633
461	573	5632
462	574	5630
463	575	5629
464	577	5629
465	578	5628
466	579	5628
467	581	5627
468	582	5623
469	583	5620
470	584	5619
471	585	5618
472	586	5616
473	588	5616
474	589	5615
475	590	5613
476	591	5610
477	592	5609
478	594	5608
479	595	5606
480	596	5605
481	598	5605
482	599	5603
483	600	5601
484	601	5600
485	602	5600
486	604	5599
487	605	5598
488	606	5597
489	607	5594
490	609	5594
491	610	5593
492	611	5592
493	613	5591
494	614	5591
495	615	5588
496	616	5587
497	617	5585
498	619	5585
499	620	5584
500	621	5583
501	622	5581
502	624	5580
503	625	5579
504	626	5578
505	627	5576
506	628	5574
507	630	5573
508	631	5572
509	632	5571
510	634	5570
511	635	5570
512	636	5570
513	638	5570
514	640	5575
515	641	5573
516	642	5572
517	643	5571
518	645	5571
519	646	5570
520	648	5571
521	649	5570
522	650	5570
523	651	5568
524	653	5566
525	654	5566
526	655	5565
527	656	5564
528	658	5563
529	659	5562
530	660	5561
531	662	5560
532	663	5559
533	664	5558
534	666	5558
535	667	5557
536	668	5556
537	669	5554
538	671	5558
539	672	5557
540	674	5556
541	675	5555
542	676	5555
