FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,TMPRIV_,TMPRIV_ID,NAME,ALIAS,CLASS,PRIMARY,END,REACHCODE,SORTER,LENGTH_KM,STRAHLER,SEGMENT,SHREVE,US_ACCUM,LINK_TYPE,CATCHID,DIST2MTH,MAINCHAN,ORDER,RIVN_ROOT,RIVN_SUFX
842,920,0,0,0.1871677,1,1,Rooisloot,,Perennial,B,E,B51E010000,_00000000,20.4644,1,1.0,1.0,20464.421,E,1.0,20464.421,1.0,1,Rooi,Sloot
508,515,0,0,0.05768151,2,2,Mphongolo,,Perennial,B,N,B90H030000,B00008058,6.26177,3,6436.0,9.0,396811.228,I,462.0,563146.285,0.0,3,Mphongolo,River
581,596,0,0,0.2132463,3,3,Little Letaba,Klein-Letaba,Perennial,B,N,B82J050000,B00007780,22.8204,3,6118.0,10.0,661308.494,I,462.0,564385.928,0.0,3,Little Letaba,River
596,604,0,0,0.04196794,4,4,Little Letaba,Klein-Letaba,Perennial,B,N,B82J060000,B00007798,4.46933,3,6118.0,11.0,702077.294,I,462.0,541565.516,0.0,3,Little Letaba,River
604,616,0,0,0.07279031,5,5,Little Letaba,Klein-Letaba,Perennial,B,N,B82J070000,B00007815,7.81744,3,6118.0,12.0,721909.386,I,462.0,537096.182,0.0,3,Little Letaba,River
616,634,0,0,0.110957,6,6,Letaba,,Perennial,B,N,B83A040000,B00007816,11.7568,4,6154.0,31.0,1470442.575,I,462.0,529278.746,0.0,4,Letaba,River
626,621,0,0,0.09289982,7,7,Great Letaba,Groot-Letaba,Perennial,B,N,B81F090000,B00007517,9.6505,3,6135.0,16.0,534809.884,I,462.0,571260.876,0.0,3,Great Letaba,River
649,662,0,0,0.1045372,8,8,Mahitse,,NonPerennial,B,N,B81B060000,B00007258,10.9573,2,6131.0,2.0,21216.107,I,462.0,700644.833,0.0,2,Mahitse,River
663,686,0,0,0.3493815,9,9,Great Letaba,Groot-Letaba,Perennial,B,N,B81C010000,B00007337,36.7753,3,6135.0,8.0,184899.131,I,462.0,688786.151,0.0,3,Great Letaba,River
662,663,0,0,0.008258726,10,10,Mahitse,Politsi,Perennial,B,N,B81B100000,B00007336,0.90138,3,6135.0,4.0,50676.832,I,462.0,689687.53,0.0,3,Mahitse,River
941,862,0,0,0.7297886,11,11,Olifants,,Perennial,B,N,B71G010000,B00006742,77.6562,5,6293.0,153.0,5840616.015,I,462.0,666152.506,0.0,5,Olifants,River
972,941,0,0,0.1112344,12,12,Steelpoort,,Perennial,B,N,B41K090000,B00005233,11.6552,4,6184.0,33.0,1133014.529,I,462.0,677807.756,0.0,4,Steelpoort,River
634,648,0,0,0.1630559,13,13,Letaba,,Perennial,B,N,B83A050000,B00007831,16.8378,4,6154.0,32.0,1516072.756,I,462.0,517521.967,0.0,4,Letaba,River
936,895,0,0,0.1279722,14,14,Motse,,Perennial,B,N,B71E060000,B00006739,13.6693,2,6368.0,3.0,97238.541,I,462.0,732824.13,0.0,2,Motse,River
703,684,0,0,0.2397076,15,15,Great Letaba,Groot-Letaba,Perennial,B,N,B81B070000,B00007206,25.7424,2,6138.0,3.0,78434.953,I,462.0,727055.066,0.0,2,Great Letaba,River
863,861,0,0,0.005146281,16,16,Olifants,,Perennial,B,N,B52J050000,B00006270,0.528556,5,6293.0,106.0,4150815.142,I,462.0,762978.731,0.0,5,Olifants,River
1424,1421,0,0,0.004056832,17,17,Bloed,,Perennial,B,N,B32F060000,B00003815,0.443789,2,6299.0,2.0,37532.634,I,462.0,955205.09,0.0,2,Bloed,River
666,673,0,0,0.1526779,18,18,Letaba,,Perennial,B,N,B83D060000,B00007881,16.1227,4,6154.0,36.0,1744588.89,I,462.0,476311.771,0.0,4,Letaba,River
673,716,0,0,0.2753895,19,19,Letaba,,Perennial,B,N,B83E010000,B00007902,29.046,4,6154.0,38.0,1828113.712,I,462.0,460189.086,0.0,4,Letaba,River
731,688,0,0,0.1436275,20,20,,,Unknown,b,N,Y30C040000,B00008242,15.8089,2,6111.0,2.0,52353.651,I,462.0,424870.55,0.0,2,,
540,543,0,0,0.06542339,21,21,Shingwidzi,Shingwedzi,Unknown,b,N,Y30B130000,B00008181,6.89702,4,6445.0,16.0,767015.819,I,462.0,531965.491,0.0,4,Shingwidzi,River
506,508,0,0,0.07555404,22,22,Mphongolo,,Perennial,B,N,B90D040000,B00008042,7.83299,3,6436.0,8.0,341930.167,I,462.0,570979.271,0.0,3,Mphongolo,River
1909,1738,0,0,0.4172886,23,23,Wilge,,Perennial,B,N,B20F010000,B00002383,44.2471,3,6277.0,4.0,155890.204,I,462.0,1144004.55,0.0,3,Wilge,River
1243,1190,0,0,0.1640501,24,24,Olifants,,Perennial,B,N,B32J040000,B00004237,17.5938,5,6293.0,63.0,2395150.325,I,462.0,900128.407,0.0,5,Olifants,River
1065,1064,0,0,0.002547359,25,25,Olifants,,Perennial,B,N,B51C050000,B00005690,0.268608,5,6293.0,91.0,3468613.916,I,462.0,847218.57,0.0,5,Olifants,River
1064,1009,0,0,0.1209189,26,26,Olifants,,Perennial,B,N,B51C060000,B00005691,13.0473,5,6293.0,92.0,3513861.92,I,462.0,846949.962,0.0,5,Olifants,River
1009,995,0,0,0.03864383,27,27,Olifants,,Perennial,B,N,B51C070000,B00005692,4.06448,5,6293.0,93.0,3552232.407,I,462.0,833902.659,0.0,5,Olifants,River
937,897,0,0,0.1172252,28,28,Olifants,,Perennial,B,N,B52E040000,B00006067,12.5942,5,6293.0,102.0,3962989.803,I,462.0,791773.192,0.0,5,Olifants,River
888,863,0,0,0.1311816,29,29,Olifants,,Perennial,B,N,B52G020000,B00006098,13.9909,5,6293.0,105.0,4123709.795,I,462.0,776969.675,0.0,5,Olifants,River
891,888,0,0,0.002304866,30,30,Olifants,,Perennial,B,N,B52E060000,B00006069,0.241536,5,6293.0,104.0,4061288.967,I,462.0,777211.211,0.0,5,Olifants,River
897,891,0,0,0.01889419,31,31,Olifants,,Perennial,B,N,B52E050000,B00006068,1.96775,5,6293.0,103.0,4031627.244,I,462.0,779178.962,0.0,5,Olifants,River
861,837,0,0,0.0804358,32,32,Olifants,,Perennial,B,N,B71A050000,B00006271,8.41362,5,6293.0,111.0,4297508.549,I,462.0,762450.174,0.0,5,Olifants,River
837,836,0,0,0.02462479,33,33,Olifants,,Perennial,B,N,B71A060000,B00006549,2.51932,5,6293.0,112.0,4311598.503,I,462.0,754036.557,0.0,5,Olifants,River
836,851,0,0,0.2178175,34,34,Olifants,,Perennial,B,N,B71B010000,B00006600,22.5823,5,6293.0,114.0,4380483.279,I,462.0,751517.242,0.0,5,Olifants,River
862,811,0,0,0.07986085,35,35,Olifants,,Perennial,B,N,B72C050000,B00006743,8.72596,5,6293.0,164.0,6333787.573,I,462.0,588496.355,0.0,5,Olifants,River
811,805,0,0,0.1923217,36,36,Olifants,,Perennial,B,N,B72D040000,B00006846,19.7974,5,6293.0,169.0,6531898.928,I,462.0,579770.4,0.0,5,Olifants,River
771,735,0,0,0.1497288,37,37,Olifants,,Perennial,B,N,B72D070000,B00006897,15.5535,5,6293.0,172.0,6633392.916,I,462.0,542744.392,0.0,5,Olifants,River
735,763,0,0,0.101871,38,38,Olifants,,Perennial,B,N,B73C030000,B00006999,10.7175,5,6293.0,178.0,6923755.936,I,462.0,527190.927,0.0,5,Olifants,River
763,750,0,0,0.1536806,39,39,Olifants,,Perennial,B,N,B73C040000,B00007028,16.0695,5,6293.0,180.0,7076577.384,I,462.0,516473.394,0.0,5,Olifants,River
750,752,0,0,0.04278673,40,40,Olifants,,Perennial,B,N,B73C050000,B00007052,4.58768,5,6293.0,181.0,7120137.799,I,462.0,500403.854,0.0,5,Olifants,River
752,736,0,0,0.1415891,41,41,Olifants,,Perennial,B,N,B73C060000,B00007053,14.8188,5,6293.0,182.0,7182852.904,I,462.0,495816.175,0.0,5,Olifants,River
736,744,0,0,0.2573053,42,42,Olifants,,Perennial,B,N,B73G030000,B00007103,27.1691,5,6293.0,186.0,7356248.176,I,462.0,480997.394,0.0,5,Olifants,River
744,716,0,0,0.216203,43,43,Olifants,,Perennial,B,N,B73H010000,B00007136,22.6852,5,6293.0,189.0,7604759.577,I,462.0,453828.274,0.0,5,Olifants,River
538,540,0,0,0.008838506,44,44,Shingwidzi,Shingwedzi,Perennial,B,N,Y30B120000,B00008180,0.928152,4,6445.0,15.0,722364.52,I,462.0,532893.643,0.0,4,Shingwidzi,River
562,542,0,0,0.2738011,45,45,Middel Letaba,,Perennial,B,N,B82D040000,B00007654,29.0587,3,6118.0,4.0,261687.364,I,462.0,690873.972,0.0,3,Middel Letaba,River
573,562,0,0,0.09889274,46,46,Mosukodutsi,,Perennial,B,N,B82D020000,B00007631,10.5581,2,6114.0,2.0,109957.435,I,462.0,701432.039,0.0,2,Mosukodutsi,River
633,626,0,0,0.09210085,47,47,Great Letaba,Groot-Letaba,Perennial,B,N,B81F080000,B00007516,9.50536,3,6135.0,15.0,502800.982,I,462.0,580766.237,0.0,3,Great Letaba,River
