Quaternary,Quat_code
A10A,1010001
A10B,1010002
A10C,1010003
A21A,1020101
A21B,1020102
A21C,1020103
A21D,1020104
A21E,1020105
A21F,1020106
A21G,1020107
A21H,1020108
A21J,1020109
A21K,1020110
A21L,1020111
A22A,1020201
A22B,1020202
A22C,1020203
A22D,1020204
A22E,1020205
A22F,1020206
A22G,1020207
A22H,1020208
A22J,1020209
A23A,1020301
A23B,1020302
A23C,1020303
A23D,1020304
A23E,1020305
A23F,1020306
A23G,1020307
A23H,1020308
A23J,1020309
A23K,1020310
A23L,1020311
A24A,1020401
A24B,1020402
A24C,1020403
A24D,1020404
A24E,1020405
A24F,1020406
A24G,1020407
A24H,1020408
A24J,1020409
A31A,1030101
A31B,1030102
A31C,1030103
A31D,1030104
A31E,1030105
A31F,1030106
A31G,1030107
A31H,1030108
A31J,1030109
A32A,1030201
A32B,1030202
A32C,1030203
A32D,1030204
A32E,1030205
A41A,1040101
A41B,1040102
A41C,1040103
A41D,1040104
A41E,1040105
A42A,1040201
A42B,1040202
A42C,1040203
A42D,1040204
A42E,1040205
A42F,1040206
A42G,1040207
A42H,1040208
A42J,1040209
A50A,1050001
A50B,1050002
A50C,1050003
A50D,1050004
A50E,1050005
A50F,1050006
A50G,1050007
A50H,1050008
A50J,1050009
A61A,1060101
A61B,1060102
A61C,1060103
A61D,1060104
A61E,1060105
A61F,1060106
A61G,1060107
A61H,1060108
A61J,1060109
A62A,1060201
A62B,1060202
A62C,1060203
A62D,1060204
A62E,1060205
A62F,1060206
A62G,1060207
A62H,1060208
A62J,1060209
A63A,1060301
A63B,1060302
A63C,1060303
A63D,1060304
A63E,1060305
A71A,1070101
A71B,1070102
A71C,1070103
A71D,1070104
A71E,1070105
A71F,1070106
A71G,1070107
A71H,1070108
A71J,1070109
A71K,1070110
A71L,1070111
A72A,1070201
A72B,1070202
A80A,1080001
A80B,1080002
A80C,1080003
A80D,1080004
A80E,1080005
A80F,1080006
A80G,1080007
A80H,1080008
A80J,1080009
A91A,1090101
A91B,1090102
A91C,1090103
A91D,1090104
A91E,1090105
A91F,1090106
A91G,1090107
A91H,1090108
A91J,1090109
A91K,1090110
A92A,1090201
A92B,1090202
A92C,1090203
A92D,1090204
B11A,2010101
B11B,2010102
B11C,2010103
B11D,2010104
B11E,2010105
B11F,2010106
B11G,2010107
B11H,2010108
B11J,2010109
B11K,2010110
B11L,2010111
B12A,2010201
B12B,2010202
B12C,2010203
B12D,2010204
B12E,2010205
B20A,2020001
B20B,2020002
B20C,2020003
B20D,2020004
B20E,2020005
B20F,2020006
B20G,2020007
B20H,2020008
B20J,2020009
B31A,2030101
B31B,2030102
B31C,2030103
B31D,2030104
B31E,2030105
B31F,2030106
B31G,2030107
B31H,2030108
B31J,2030109
B32A,2030201
B32B,2030202
B32C,2030203
B32D,2030204
B32E,2030205
B32F,2030206
B32G,2030207
B32H,2030208
B32J,2030209
B41A,2040101
B41B,2040102
B41C,2040103
B41D,2040104
B41E,2040105
